transformation_code,transformation_name_stakeholder,sector,subsector,Sector (output),Subsector (output),Example government policies
TX:IPPU:DEC_OTHER_FCS,Reduce other fluorinated compounds,IPPU,IPPU,IPPU,F-gasses,
TX:IPPU:DEC_PFCS,Reduce use of PFCs,IPPU,IPPU,IPPU,F-gasses,
TX:LNDU:DEC_DEFORESTATION,Stop deforestation,AFOLU,LNDU,AFOLU,Deforestation,
TX:LNDU:DEC_SOC_LOSS_PASTURES,Expand sustainable grazing practices,AFOLU,LNDU,AFOLU,Other Land,
TX:LNDU:INC_REFORESTATION,Increase Reforestation,AFOLU,LNDU,AFOLU,Forest Land,
TX:LNDU:INC_SILVOPASTURE,Expand silvopasture,AFOLU,LNDU,AFOLU,Other Land,
TX:LSMM:INC_CAPTURE_BIOGAS,Increase biogas capture at anaerobic decomposition facilities,AFOLU,LSMM,AFOLU,Livestock,
TX:LSMM:INC_MANAGEMENT_CATTLE_PIGS,Improve manure management for cattle and pigs,AFOLU,LSMM,AFOLU,Livestock,
TX:LSMM:INC_MANAGEMENT_OTHER,Improve manure management for other animals,AFOLU,LSMM,AFOLU,Livestock,
TX:LSMM:INC_MANAGEMENT_POULTRY,Improve manure management for poultry,AFOLU,LSMM,AFOLU,Livestock,
TX:LVST:DEC_ENTERIC_FERMENTATION,Reduce enteric fermentation,AFOLU,LVST,AFOLU,Livestock,
TX:LVST:DEC_EXPORTS,Decrease exports,AFOLU,LVST,AFOLU,Livestock,
TX:LVST:INC_PRODUCTIVITY,Increase livestock productivity,AFOLU,LVST,AFOLU,Livestock,
TX:PFLO:INC_HEALTHIER_DIETS,Change diets,CROSS,PFLO,AFOLU,Livestock,
TX:PFLO:INC_IND_CCS,Industrial carbon capture and sequestration,CROSS,PFLO,IPPU,CCS,
TX:SCOE:DEC_DEMAND_HEAT,Reduce end-use demand for heat energy by improving building shell,Energy,SCOE,Energy,Building,
TX:SCOE:INC_EFFICIENCY_APPLIANCE,Increase appliance efficiency,Energy,SCOE,Energy,Building,
TX:SCOE:SHIFT_FUEL_HEAT,"Switch to electricity for heat using heat pumps, electric stoves, etc.",Energy,SCOE,Energy,Building,
TX:SOIL:DEC_LIME_APPLIED,Improve lime application,AFOLU,SOIL,AFOLU,Agriculture,
TX:SOIL:DEC_N_APPLIED,Improve fertilizer application,AFOLU,SOIL,AFOLU,Agriculture,
TX:TRDE:DEC_DEMAND,Reduce demand for transport,Energy,TRDE,Energy,Transport,
TX:TRNS:INC_EFFICIENCY_ELECTRIC,Increase electric transportation energy efficiency,Energy,TRNS,Energy,Transport,
TX:TRNS:INC_EFFICIENCY_NON_ELECTRIC,Increase non-electric transportation energy efficiency,Energy,TRNS,Energy,Transport,
TX:TRNS:INC_OCCUPANCY_LIGHT_DUTY,Increase occupancy for private vehicles,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,Electrify light duty road transport,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_FUEL_MARITIME,Fuel switch maritime,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Fuel switch medium duty road transport,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_FUEL_RAIL,Electrify rail,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_MODE_FREIGHT,Mode shift freight,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_MODE_PASSENGER,Mode shift passenger vehicles to others,Energy,TRNS,Energy,Transport,
TX:TRNS:SHIFT_MODE_REGIONAL,Mode shift regional passenger travel,Energy,TRNS,Energy,Transport,
TX:TRWW:INC_CAPTURE_BIOGAS,Increase biogas capture at wastewater treatment facilities,IPPU,TRWW,CircularEconomy,Wastewater Treatment,
TX:TRWW:INC_COMPLIANCE_SEPTIC,Increase septic compliance,IPPU,TRWW,CircularEconomy,Wastewater Treatment,
TX:WALI:INC_TREATMENT_INDUSTRIAL,Improved industrial wastewater treatment,CircularEconomy,WALI,CircularEconomy,Wastewater Treatment,
TX:WALI:INC_TREATMENT_RURAL,Improved rural wastewater treatment,CircularEconomy,WALI,CircularEconomy,Wastewater Treatment,
TX:WALI:INC_TREATMENT_URBAN,Improved urban wastewater treatment,CircularEconomy,WALI,CircularEconomy,Wastewater Treatment,
TX:WASO:DEC_CONSUMER_FOOD_WASTE,Consumer food waste reduction,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_ANAEROBIC_AND_COMPOST,Increase composting and biogas,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_CAPTURE_BIOGAS,Increase biogas capture at solid waste facilities,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_ENERGY_FROM_BIOGAS,Biogas for energy production,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_ENERGY_FROM_INCINERATION,Incineration for energy production,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_LANDFILLING,Increase landfilling,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:WASO:INC_RECYCLING,Increase recycling,CircularEconomy,WASO,CircularEconomy,Solid Waste,
TX:FRST:INCREASE_SEQUESTRATION,Increase Sequestration,,,AFOLU,Forest Land,
TX:LNDU:BOUND_CLASSES,Bound Classes,,,AFOLU,Forest Land,
TX:LNDU:DEC_CLASS_LOSS,Decrease loss of land use classes,,,AFOLU,Forest Land,
TX:SCOE:INC_EFFICIENCY_HEAT,Increase heat efficiency,,,Energy,Building,
